name,header_url,city,county,postal_cod,latitude,longitude,FORMAL_EN,POP_EST,POP_YEAR,GDP_YEAR,ECONOMY,INCOME_GRP,CONTINENT,REGION_UN,SUBREGION,icon_url
FAB LAB NOVAERA,http://fablabs.io.s3.amazonaws.com/2020/07/06/06/01/44/09c01238-6137-46bd-a498-e58262507972/c549ad35-7099-46d5-a17e-dec4d08ddbf4.JPG,Le�n,Guanajuato,"37320",21.129995500000000,-101.685796199999999,United Mexican States,"124574795","2017","2016",4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,
Mescla FabLab PUC-Campinas,http://fablabs.io.s3.amazonaws.com/2020/05/20/17/47/50/d52d654a-1d7d-4ae6-a0be-f03e59cfffbe/mescla.jpeg,Campinas,S�o Paulo,13087-571,-22.834150000000001,-47.051229999999997,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
FabLabINTI,http://fablabs.io.s3.amazonaws.com/2020/09/30/15/33/00/4047184f-4b2c-4836-8c75-e21ac741e2f1/FabLabINTI.jpg,San Salvador,,CP 1101,13.693407400000000,-89.220941300000007,Republic of El Salvador,"6172011","2017","2016",6. Developing region,4. Lower middle income,North America,Americas,Central America,
MADE Makerspace Barcelona,http://fablabs.io.s3.amazonaws.com/2017/01/28/13/49/10/fb0d32ed-b98f-4833-a03a-c881f69e2a80/MADE Makerspace Barcelona.jpg,Barcelona,Catalunya,"08014",41.373024899999997,2.141238800000000,Kingdom of Spain,"48958159","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
FabLabESFE,,Sonzacate,Sonsonate,,13.737676000000000,-89.709280100000001,Republic of El Salvador,"6172011","2017","2016",6. Developing region,4. Lower middle income,North America,Americas,Central America,
FABLAB FUNDEPLAST,,San Salvador,,,13.693909587586599,-89.228057701991290,Republic of El Salvador,"6172011","2017","2016",6. Developing region,4. Lower middle income,North America,Americas,Central America,
FABLabUP - Universidad del Pac�fico,http://fablabs.io.s3.amazonaws.com/2020/05/23/16/03/33/7c874bf4-1894-4023-9c95-5484ce69543d/C401.hackathon.jpg,Jes�s Mar�a,Lima,"15072",-12.083743567563500,-77.048574853967295,Republic of Peru,"31036656","2017","2016",5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,
Fab Lab UFAL,http://fablabs.io.s3.amazonaws.com/2020/05/24/16/18/50/1549f74c-d473-497b-8d04-5e5ae256dc09/20200214_122327.jpg,Macei�,ALAGOAS,57072-900,-9.552426524260881,-35.774979515435803,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
FabLab ECAE,,Abu Dhabi,Abu Dhabi,,24.420324799999999,54.595803699999998,United Arab Emirates,"6072475","2017","2016",6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,
FabLab Kannai,,???,????,231-0012,35.446611400000002,139.637728199999998,Japan,"126451398","2017","2016",1. Developed region: G7,1. High income: OECD,Asia,Asia,Eastern Asia,
